UDR Summary Statistics (α=5, τ=0.05)
================================================================================

Method                                            N     Mean      Std   Median
--------------------------------------------------------------------------------
rmu_lr5e5_l5_s10_ep5                            359    0.980    0.096    1.000
graddiff_lr5e5_a5_ep5                           359    0.966    0.119    1.000
rmu_lr5e5_l10_s10_ep5                           359    0.884    0.158    0.919
undial_lr3e4_b10_a5_ep5                         359    0.871    0.211    0.982
npo_lr5e5_b01_a5_ep5                            359    0.818    0.277    0.989
altpo_lr5e5_b01_a5_ep5                          359    0.744    0.298    0.903
simnpo_lr5e5_b35_a1_d1_g0125_ep5                359    0.722    0.307    0.831
npo_lr2e5_b01_a5_ep5                            359    0.700    0.320    0.833
rmu_lr2e5_l5_s10_ep5                            359    0.597    0.320    0.595
undial_lr1e4_b10_a5_ep5                         359    0.594    0.280    0.581
graddiff_lr2e5_a5_ep5                           359    0.515    0.376    0.480
idkdpo_lr5e5_b01_a5_ep5                         359    0.512    0.321    0.473
rmu_lr2e5_l10_s10_ep5                           359    0.456    0.295    0.419
npo_lr1e5_b01_a5_ep5                            359    0.432    0.279    0.382
altpo_lr2e5_b01_a5_ep5                          359    0.387    0.313    0.274
simnpo_lr2e5_b35_a1_d1_g0125_ep5                359    0.349    0.335    0.238
idkdpo_lr2e5_b01_a5_ep5                         359    0.250    0.266    0.163
altpo_lr1e5_b01_a5_ep5                          359    0.229    0.242    0.140
idknll_lr5e5_a5_ep5                             359    0.217    0.261    0.122
idkdpo_lr1e5_b01_a5_ep5                         359    0.085    0.157    0.030
idknll_lr2e5_a5_ep5                             359    0.077    0.205    0.008
simnpo_lr1e5_b35_a1_d1_g0125_ep5                359    0.060    0.120    0.017
graddiff_lr1e5_a5_ep5                           359    0.055    0.121    0.012
undial_lr1e5_b10_a5_ep5                         359    0.052    0.102    0.023
rmu_lr1e5_l10_s10_ep5                           359    0.052    0.154    0.005
rmu_lr1e5_l5_s10_ep5                            359    0.045    0.098    0.018
idknll_lr1e5_a5_ep5                             359    0.041    0.141    0.002
rmu_lr5e5_l15_s10_ep5                           359    0.034    0.061    0.018
rmu_lr2e5_l15_s10_ep5                           359    0.013    0.037    0.006
rmu_lr1e5_l15_s10_ep5                           359    0.004    0.016    0.001
